caldt,VBINX,VPACX,VEURX,VEIEX,VFINX,VEXMX,VVIAX,NAESX,VISVX,VISGX,VIMSX
2012-11-30,0.00507829,0.022845275,0.024706359,0.013277693,0.005599877,0.016614279,-0.005263158,0.011646374,0.00818235,0.015289256,0.015082267
2012-12-31,0.006631437,0.047318156,0.03492954,0.058421576,0.009022816,0.027720358,0.019415165,0.030739016,0.033319182,0.02783088,0.024392131
2013-01-31,0.03030303,0.032544379,0.050384615,0.006069261,0.051762198,0.067597034,0.063672045,0.063500258,0.064942529,0.061126648,0.067200712
2013-02-28,0.009803922,0.021012416,-0.031856463,-0.017388219,0.013389303,0.01000817,0.015170152,0.013349515,0.017808958,0.009412651,0.013344454
2013-03-28,0.023594087,0.031909735,0.003273777,-0.01537137,0.03738648,0.047021468,0.039303531,0.046852232,0.045283302,0.048900134,0.043788915
2013-04-30,0.013888889,0.058128974,0.043165468,0.013215859,0.019085817,0.005989181,0.021892103,0.001372998,-0.000507357,-0.004978663,0.016955836
2013-05-31,0.007436399,-0.075536481,0,-0.037318841,0.023274751,0.028039178,0.024866106,0.036106033,0.030456853,0.042530379,0.018224118
2013-06-28,-0.014148539,-0.006984726,-0.04276079,-0.061388133,-0.013505532,-0.010087801,-0.008080974,-0.009925011,-0.011330049,-0.007884813,-0.011805027
2013-07-31,0.033254157,0.02165725,0.07421724,0.009748172,0.05072268,0.069824495,0.051854656,0.066607262,0.066766318,0.066689703,0.056262042
2013-08-30,-0.01954023,-0.015668203,-0.0129543,-0.031777957,-0.029118725,-0.028223673,-0.035984167,-0.031746032,-0.042036432,-0.019436346,-0.025173294
2013-09-30,0.025649725,0.085572284,0.068834374,0.071542431,0.031216308,0.059901979,0.021645604,0.056945643,0.053144807,0.061446977,0.045284431
2013-10-31,0.028319939,0.017301038,0.041067762,0.04650254,0.04586505,0.028087001,0.045571481,0.032653061,0.038888889,0.025210084,0.033655567
2013-11-29,0.016002977,-0.00085034,0.011176857,-0.020164302,0.03028434,0.024820923,0.032337434,0.027075099,0.029857398,0.023375835,0.020090059
2013-12-31,0.012867628,0.000874151,0.026014489,-0.009612088,0.025137751,0.029837438,0.020581601,0.025712203,0.02682574,0.024446696,0.029833545
2014-01-31,-0.012354651,-0.055986219,-0.040394402,-0.072699149,-0.034691242,-0.01848311,-0.035930154,-0.020687037,-0.028289756,-0.011638056,-0.023317788
2014-02-28,0.030169242,0.032846715,0.071925754,0.034195163,0.045606567,0.053896104,0.039359108,0.050581395,0.050286723,0.051221666,0.060027285
2014-03-31,0.002097767,-0.001003177,-0.006733617,0.038608174,0.00823796,-0.007193095,0.026153029,-0.003117485,0.013188788,-0.022319109,-0.003055477
2014-04-30,0.00358038,-0.002657219,0.025592417,0.005058366,0.00724092,-0.025605214,0.008866995,-0.023316062,-0.011608624,-0.037525064,-0.008392511
2014-05-30,0.017124509,0.031971581,0.007701787,0.037166086,0.023349436,0.014970537,0.014322917,0.011746874,0.015939597,0.006845238,0.023111979
2014-06-30,0.015687265,0.028006214,-0.000243857,0.029991917,0.020519514,0.044406088,0.019125207,0.049625468,0.042939719,0.057936743,0.029907731
2014-07-31,-0.012829404,0.006745363,-0.041006524,0.014630578,-0.01388044,-0.044170673,-0.012666244,-0.049420161,-0.047110055,-0.051969824,-0.025332098
2014-08-29,0.029504742,-0.001675042,0.006154843,0.035688536,0.03987214,0.049355549,0.034958307,0.049737237,0.05151641,0.047745358,0.047226624
2014-09-30,-0.015713996,-0.044851951,-0.039895666,-0.071589885,-0.014179602,-0.05107849,-0.013495987,-0.053102092,-0.056499407,-0.049226442,-0.032082324
2014-10-31,0.020891365,0.022947926,-0.021556079,0.023097312,0.024232101,0.040568272,0.018957346,0.044750755,0.049413735,0.039349112,0.034396498
2014-11-28,0.01739427,-0.033649698,0.021342513,-0.009992598,0.026824034,0.013046117,0.024186047,0.009759624,0.0103751,0.008824367,0.028113664
2014-12-31,0.000134565,-0.025452163,-0.044991723,-0.049747499,-0.002643397,0.009323069,0.003306503,0.012548299,0.016971518,0.00732006,0.002603674
2015-01-30,-0.007749326,0.018518519,0.003902093,0.00671406,-0.030175365,-0.019210566,-0.04007286,-0.021661296,-0.033149171,-0.00819209,-0.019869514
2015-02-27,0.029541596,0.056363636,0.060777385,0.035307964,0.057395743,0.06013772,0.052498419,0.058188472,0.057142857,0.059242381,0.059909228
2015-03-31,-0.004390984,0.004011612,-0.024457848,-0.020768721,-0.015936689,0.012339177,-0.015814565,0.011825583,0.012236638,0.011722559,0.003282334
2015-04-30,0.000998336,0.040343348,0.042224511,0.077876792,0.00949085,-0.015404365,0.015970516,-0.01692597,-0.01259542,-0.022062733,-0.003984064
2015-05-29,0.006316489,-0.008250825,0.001646904,-0.033788641,0.012725951,0.018397798,0.011185006,0.02,0.013529184,0.027724925,0.010285714
2015-06-30,-0.014198211,-0.020828826,-0.032503669,-0.023856175,-0.01932917,-0.007396871,-0.021690377,-0.008695652,-0.014492754,-0.002380323,-0.018099548
2015-07-31,0.013122476,-0.009409752,0.025189786,-0.06805075,0.02080269,-0.00171969,0.009529665,-0.002923977,-0.01006192,0.005302227,0.012384793
2015-08-31,-0.037196945,-0.075129534,-0.070346685,-0.093234323,-0.060415809,-0.058857307,-0.05816078,-0.058478523,-0.048084441,-0.070147679,-0.051209104
2015-09-30,-0.0144884,-0.042749083,-0.040828389,-0.032451601,-0.024900344,-0.04829771,-0.024809803,-0.044960661,-0.035840888,-0.055411112,-0.036960256
2015-10-30,0.046078087,0.075342466,0.060652009,0.055740829,0.084227165,0.055528652,0.076101469,0.056833559,0.065863108,0.046153846,0.059968603
2015-11-30,0.002353732,-0.002729754,-0.012866333,-0.032490975,0.002863688,0.01728093,0.004032258,0.018108652,0.013327948,0.023933103,0.002665877
2015-12-31,-0.014086925,-0.003804719,-0.024207195,-0.024948846,-0.015925862,-0.039565245,-0.009766745,-0.042079257,-0.049009185,-0.034088298,-0.026646618
2016-01-29,-0.028062971,-0.057407407,-0.058845438,-0.060067275,-0.049766553,-0.088350888,-0.047454431,-0.076560437,-0.064584213,-0.090696314,-0.074717902
2016-02-29,0.002816901,-0.035363458,-0.028096557,-0.008691207,-0.001451703,0.004483532,0.000989772,0.0091893,0.015794224,0.000965251,0.012195122
2016-03-31,0.045896329,0.078320618,0.066762902,0.130430549,0.067754376,0.082311251,0.065919578,0.083506595,0.089050455,0.077271682,0.07979954
2016-04-29,0.005059022,0.008514664,0.028396009,0.007766103,0.003737039,0.017030081,0.015250545,0.017225239,0.020466639,0.012843489,0.005137504
2016-05-31,0.010738255,0.004690432,-0.005597015,-0.033998187,0.017829051,0.017683881,0.011342735,0.019326339,0.014440433,0.02536125,0.01864101
2016-06-30,0.009302944,0.001252203,-0.044157848,0.050443153,0.002499653,-0.00131395,0.010942561,0.00251123,0.000768691,0.004658521,-0.00094616
2016-07-29,0.026437541,0.055451128,0.038415366,0.046741573,0.036763567,0.053703704,0.028347407,0.050731179,0.046751189,0.055683123,0.046249629
2016-08-31,0.000643915,0.002671416,0.007321773,0.016745384,0.001294885,0.00864089,0.006451613,0.006185567,0.007191522,0.004893964,0.001416832
2016-09-30,0.000763789,0.02812033,0.005746123,0.012703947,8.18148E-05,0.008922274,-0.004428904,0.003929101,0.003074133,0.005273514,0.003694084
2016-10-31,-0.016801292,-0.010398614,-0.034021407,0.006329114,-0.018330753,-0.03883355,-0.011487482,-0.041175466,-0.03014318,-0.05420712,-0.030843237
2016-11-30,0.01610253,-0.014010508,-0.022952117,-0.04360587,0.036989926,0.078852508,0.059594756,0.086065574,0.102564103,0.065297975,0.046715328
